,codes,airports,cities,countries,airports - cities
4241,UKDR,Kryvyi Rih International Airport,Kryvyi Rih,UA,Kryvyi Rih International Airport - Kryvyi Rih
4242,UKFB,Sevastopol International Airport / Belbek Air Base,Sevastopol,UA,Sevastopol International Airport / Belbek Air Base - Sevastopol
4243,UKFF,Simferopol International Airport,Simferopol,UA,Simferopol International Airport - Simferopol
4244,UKFG,Gvardeyskoe Air Base,Sarabuz,UA,Gvardeyskoe Air Base - Sarabuz
4245,UKFI,Saky Air Base,Novofedorovka,UA,Saky Air Base - Novofedorovka
4246,UKFY,Dzhankoy Airport,Dzhankoy,UA,Dzhankoy Airport - Dzhankoy
4247,UKHH,Kharkiv International Airport,Kharkiv,UA,Kharkiv International Airport - Kharkiv
4248,UKKE,Cherkasy International Airport,Cherkasy,UA,Cherkasy International Airport - Cherkasy
4249,UKKK,Kiev Zhuliany International Airport,Kiev,UA,Kiev Zhuliany International Airport - Kiev
4250,UKKM,Gostomel Airport,Kiev,UA,Gostomel Airport - Kiev
4251,UKKO,Ozerne Air Base,Zhytomyr,UA,Ozerne Air Base - Zhytomyr
4252,UKLH,Khmelnytskyi Airport,Khmelnytskyi,UA,Khmelnytskyi Airport - Khmelnytskyi
4253,UKLI,Ivano-Frankivsk International Airport,Ivano-Frankivsk,UA,Ivano-Frankivsk International Airport - Ivano-Frankivsk
4254,UKLL,Lviv International Airport,Lviv,UA,Lviv International Airport - Lviv
4255,UKLN,Chernivtsi International Airport,Chernivtsi,UA,Chernivtsi International Airport - Chernivtsi
4256,UKLR,Rivne International Airport,Rivne,UA,Rivne International Airport - Rivne
4257,UKLU,Uzhhorod International Airport,Uzhhorod,UA,Uzhhorod International Airport - Uzhhorod
4258,UKOH,Kherson International Airport,Kherson,UA,Kherson International Airport - Kherson
4259,UKON,Mykolaiv International Airport,Nikolayev,UA,Mykolaiv International Airport - Nikolayev
4260,UKOO,Odessa International Airport,Odessa,UA,Odessa International Airport - Odessa
4261,UKWW,Vinnytsia/Gavyryshivka International Airport,Vinnitsa,UA,Vinnytsia/Gavyryshivka International Airport - Vinnitsa
4262,ULAA,Talagi Airport,Archangelsk,RU,Talagi Airport - Archangelsk
4263,ULAK,Severomorsk-1 Naval Air Base,Severomorsk,RU,Severomorsk-1 Naval Air Base - Severomorsk
4264,ULAM,Naryan Mar Airport,Naryan Mar,RU,Naryan Mar Airport - Naryan Mar
4265,ULBC,Cherepovets Airport,Cherepovets,RU,Cherepovets Airport - Cherepovets
4266,ULDD,Amderma Airport,Amderma,RU,Amderma Airport - Amderma
4267,ULH,Majeed Bin Abdulaziz Airport,Al Ula,SA,Majeed Bin Abdulaziz Airport - Al Ula
4268,ULKK,Kotlas Airport,Kotlas,RU,Kotlas Airport - Kotlas
4269,ULLI,Pulkovo Airport,St. Petersburg,RU,Pulkovo Airport - St. Petersburg
4270,ULLP,Pushkin Airport,St. Petersburg,RU,Pushkin Airport - St. Petersburg
4271,ULLS,Siversky Air Base,Siversky,RU,Siversky Air Base - Siversky
4272,ULMM,Murmansk Airport,Murmansk,RU,Murmansk Airport - Murmansk
4273,ULNR,Staraya Russa Air Base,Staraya Russa,RU,Staraya Russa Air Base - Staraya Russa
4274,ULOL,Velikiye Luki Airport,Velikiye Luki,RU,Velikiye Luki Airport - Velikiye Luki
4275,ULOO,Pskov Airport,Pskov,RU,Pskov Airport - Pskov
4276,ULPB,Petrozavodsk Airport,Petrozavodsk,RU,Petrozavodsk Airport - Petrozavodsk
4277,ULPP,Peski Airport,Petrozavodsk,RU,Peski Airport - Petrozavodsk
4278,ULPW,Sortavala,,RU,Sortavala - nan
4279,ULWW,Vologda Airport,Vologda,RU,Vologda Airport - Vologda
4280,UMBB,Brest Airport,Brest,BY,Brest Airport - Brest
4281,UMGG,Gomel Airport,Gomel,BY,Gomel Airport - Gomel
4282,UMII,Vitebsk Vostochny Airport,Vitebsk,BY,Vitebsk Vostochny Airport - Vitebsk
4283,UMKK,Khrabrovo Airport,Kaliningrad,RU,Khrabrovo Airport - Kaliningrad
4284,UMMA,Baranavichi Air Base,Baranavichi,BY,Baranavichi Air Base - Baranavichi
4285,UMMG,Hrodna Airport,Hrodna,BY,Hrodna Airport - Hrodna
4286,UMMS,Minsk National Airport,Minsk,BY,Minsk National Airport - Minsk
4287,UMNB,Babruisk Air Base,Babruisk,BY,Babruisk Air Base - Babruisk
4288,UMOO,Mogilev Airport,Mogilev,BY,Mogilev Airport - Mogilev
4289,UNAA,Abakan International Airport,Abakan,RU,Abakan International Airport - Abakan
4290,UNBB,Barnaul Airport,Barnaul,RU,Barnaul Airport - Barnaul
4291,UNBG,Gorno-Altaysk Airport,Gorno-Altaysk,RU,Gorno-Altaysk Airport - Gorno-Altaysk
4292,UNCC,Novosibirsk North Airport,Novosibirsk,RU,Novosibirsk North Airport - Novosibirsk
4293,UNEE,Kemerovo Airport,Kemerovo,RU,Kemerovo Airport - Kemerovo
4294,UNIB,Baykit Airport,Baykit,RU,Baykit Airport - Baykit
4295,UNII,Yeniseysk Airport,Yeniseysk,RU,Yeniseysk Airport - Yeniseysk
4296,UNIP,Podkamennaya Tunguska Airport,Bor,RU,Podkamennaya Tunguska Airport - Bor
4297,UNIS,Severo-Yeniseysk Airport,Severo-Yeniseysk,RU,Severo-Yeniseysk Airport - Severo-Yeniseysk
4298,UNIW,Vanavara Airport,Vanavara,RU,Vanavara Airport - Vanavara
4299,UNKL,Krasnoyarsk International Airport,Krasnoyarsk,RU,Krasnoyarsk International Airport - Krasnoyarsk
4300,UNKM,Krasnoyarsk Cheremshanka Airport,Krasnoyarsk,RU,Krasnoyarsk Cheremshanka Airport - Krasnoyarsk
4301,UNKO,Sharypovo Airport,Sharypovo,RU,Sharypovo Airport - Sharypovo
4302,UNKS,Achinsk Airport,Achinsk,RU,Achinsk Airport - Achinsk
4303,UNKY,Kyzyl Airport,Kyzyl,RU,Kyzyl Airport - Kyzyl
4304,UNNE,Yeltsovka Airport,Novosibirsk,RU,Yeltsovka Airport - Novosibirsk
4305,UNNT,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,Novosibirsk Tolmachevo Airport - Novosibirsk
4306,UNOO,Omsk Central Airport,Omsk,RU,Omsk Central Airport - Omsk
4307,UNOS,Omsk Severny Airport,Omsk,RU,Omsk Severny Airport - Omsk
4308,UNSS,Strezhevoy Airport,Strezhevoy,RU,Strezhevoy Airport - Strezhevoy
4309,UNTT,Bogashevo Airport,Tomsk,RU,Bogashevo Airport - Tomsk
4310,UNWW,Spichenkovo Airport,Novokuznetsk,RU,Spichenkovo Airport - Novokuznetsk
4311,UODD,Dikson Airport,Dikson,RU,Dikson Airport - Dikson
4312,UODN,Nagurskoye,Murmansk,RU,Nagurskoye - Murmansk
4313,UOHH,Khatanga Airport,Khatanga,RU,Khatanga Airport - Khatanga
4314,UOIG,Svetlogorsk Airport,Svetlogorsk,RU,Svetlogorsk Airport - Svetlogorsk
4315,UOII,Igarka Airport,Igarka,RU,Igarka Airport - Igarka
4316,UOOO,Norilsk-Alykel Airport,Norilsk,RU,Norilsk-Alykel Airport - Norilsk
4317,UOOW,Valek Airport,Valek,RU,Valek Airport - Valek
4318,URKA,Anapa Vityazevo Airport,Krasnyi Kurgan,RU,Anapa Vityazevo Airport - Krasnyi Kurgan
4319,URKE,Yeysk Airport,Yeysk,RU,Yeysk Airport - Yeysk
4320,URKG,Gelendzhik Airport,Gelendzhik,RU,Gelendzhik Airport - Gelendzhik
4321,URKH,Khanskaya Air Base,Maykop,RU,Khanskaya Air Base - Maykop
4322,URKK,Krasnodar Pashkovsky International Airport,Krasnodar,RU,Krasnodar Pashkovsky International Airport - Krasnodar
4323,URMG,Khankala Air Base,Grozny,RU,Khankala Air Base - Grozny
4324,URML,Makhachkala Uytash International Airport,Makhachkala,RU,Makhachkala Uytash International Airport - Makhachkala
4325,URMM,Mineralnyye Vody Airport,Mineralnyye Vody,RU,Mineralnyye Vody Airport - Mineralnyye Vody
4326,URMN,Nalchik Airport,Nalchik,RU,Nalchik Airport - Nalchik
4327,URMO,Vladikavkaz Beslan International Airport,Beslan,RU,Vladikavkaz Beslan International Airport - Beslan
4328,URMS,Magas Airport,Sunzha,RU,Magas Airport - Sunzha
4329,URMT,Stavropol Shpakovskoye Airport,Stavropol,RU,Stavropol Shpakovskoye Airport - Stavropol
4330,UROD,Dudinka Airport,Dudinka,RU,Dudinka Airport - Dudinka
4331,URRP,Platov International Airport,Rostov-on-Don,RU,Platov International Airport - Rostov-on-Don
4332,URRT,Taganrog Yuzhny Airport,Taganrog,RU,Taganrog Yuzhny Airport - Taganrog
4333,URSS,Sochi International Airport,Sochi,RU,Sochi International Airport - Sochi
4334,URWA,Astrakhan Airport,Astrakhan,RU,Astrakhan Airport - Astrakhan
4335,URWI,Elista Airport,Elista,RU,Elista Airport - Elista
4336,URWW,Volgograd International Airport,Volgograd,RU,Volgograd International Airport - Volgograd
4337,US-0086,Jim's Private Airport,Conyers,US,Jim's Private Airport - Conyers
4338,US-0254,Yuma Auxiliary Army Airfield 2,Yuma,US,Yuma Auxiliary Army Airfield 2 - Yuma
4339,US-0571,Williston Basin International Airport,Williston,US,Williston Basin International Airport - Williston
4340,US-6372,CLICK HERE TO APPLY FOR URGENT LOAN,,US,CLICK HERE TO APPLY FOR URGENT LOAN - nan
4341,US-6373,CLICK HERE TO APPLY FOR URGENT LOAN,,US,CLICK HERE TO APPLY FOR URGENT LOAN - nan
4342,US-6374,CLICK HERE TO APPLY FOR URGENT LOAN,,US,CLICK HERE TO APPLY FOR URGENT LOAN - nan
4343,US-6375,CLICK HERE TO APPLY FOR URGENT LOAN,,US,CLICK HERE TO APPLY FOR URGENT LOAN - nan
4344,USCC,Chelyabinsk Balandino Airport,Chelyabinsk,RU,Chelyabinsk Balandino Airport - Chelyabinsk
4345,USCM,Magnitogorsk International Airport,Magnitogorsk,RU,Magnitogorsk International Airport - Magnitogorsk
4346,USDA,Sabetta International Airport,Sabetta,RU,Sabetta International Airport - Sabetta
4347,USDB,Bovanenkovo Airport,Bovanenkovo,RU,Bovanenkovo Airport - Bovanenkovo
4348,USDD,Salekhard Airport,Salekhard,RU,Salekhard Airport - Salekhard
4349,USHB,Berezovo Airport,,RU,Berezovo Airport - nan
4350,USHH,Khanty Mansiysk Airport,Khanty-Mansiysk,RU,Khanty Mansiysk Airport - Khanty-Mansiysk
4351,USHN,Nyagan Airport,Nyagan,RU,Nyagan Airport - Nyagan
4352,USHS,Sovetskiy Airport,Sovetskiy,RU,Sovetskiy Airport - Sovetskiy
4353,USHU,Uray Airport,Uray,RU,Uray Airport - Uray
4354,USHY,Beloyarskiy Airport,,RU,Beloyarskiy Airport - nan
4355,USII,Izhevsk Airport,Izhevsk,RU,Izhevsk Airport - Izhevsk
4356,USKK,Pobedilovo Airport,Kirov,RU,Pobedilovo Airport - Kirov
4357,USMM,Nadym Airport,Nadym,RU,Nadym Airport - Nadym
4358,USMU,Novy Urengoy Airport,Novy Urengoy,RU,Novy Urengoy Airport - Novy Urengoy
4359,USNN,Nizhnevartovsk Airport,Nizhnevartovsk,RU,Nizhnevartovsk Airport - Nizhnevartovsk
4360,USPP,Perm International Airport,Perm,RU,Perm International Airport - Perm
4361,USRK,Kogalym International Airport,Kogalym,RU,Kogalym International Airport - Kogalym
4362,USRN,Nefteyugansk Airport,Nefteyugansk,RU,Nefteyugansk Airport - Nefteyugansk
4363,USRO,Noyabrsk Airport,Noyabrsk,RU,Noyabrsk Airport - Noyabrsk
4364,USRR,Surgut Airport,Surgut,RU,Surgut Airport - Surgut
4365,USSK,Uktus Airport,Yekaterinburg,RU,Uktus Airport - Yekaterinburg
4366,USSS,Koltsovo Airport,Yekaterinburg,RU,Koltsovo Airport - Yekaterinburg
4367,USTR,Roshchino International Airport,Tyumen,RU,Roshchino International Airport - Tyumen
4368,USUU,Kurgan Airport,Kurgan,RU,Kurgan Airport - Kurgan
4369,UTAA,Ashgabat International Airport,Ashgabat,TM,Ashgabat International Airport - Ashgabat
4370,UTAK,Turkmenbashi International Airport,Turkmenbashi,TM,Turkmenbashi International Airport - Turkmenbashi
4371,UTAM,Mary International Airport,Mary,TM,Mary International Airport - Mary
4372,UTAT,Daşoguz Airport,Daşoguz,TM,Daşoguz Airport - Daşoguz
4373,UTAV,Türkmenabat International Airport,Türkmenabat,TM,Türkmenabat International Airport - Türkmenabat
4374,UTDD,Dushanbe Airport,Dushanbe,TJ,Dushanbe Airport - Dushanbe
4375,UTDK,Kulob Airport,Kulyab,TJ,Kulob Airport - Kulyab
4376,UTDL,Khujand Airport,Khujand,TJ,Khujand Airport - Khujand
4377,UTDT,Qurghonteppa International Airport,Kurgan-Tyube,TJ,Qurghonteppa International Airport - Kurgan-Tyube
4378,UTKA,Andizhan Airport,Andizhan,UZ,Andizhan Airport - Andizhan
4379,UTKF,Fergana International Airport,Fergana,UZ,Fergana International Airport - Fergana
4380,UTNN,Nukus Airport,Nukus,UZ,Nukus Airport - Nukus
4381,UTNU,Urgench Airport,Urgench,UZ,Urgench Airport - Urgench
4382,UTSA,Navoi Airport,Navoi,UZ,Navoi Airport - Navoi
4383,UTSB,Bukhara International Airport,Bukhara,UZ,Bukhara International Airport - Bukhara
4384,UTSS,Samarkand Airport,Samarkand,UZ,Samarkand Airport - Samarkand
4385,UTST,Termez Airport,Termez,UZ,Termez Airport - Termez
4386,UTTP,Tashkent East Airport,Tashkent,UZ,Tashkent East Airport - Tashkent
4387,UTTT,Tashkent International Airport,Tashkent,UZ,Tashkent International Airport - Tashkent
4388,UUBA,Kostroma Sokerkino Airport,Kostroma,RU,Kostroma Sokerkino Airport - Kostroma
4389,UUBC,Grabtsevo Airport,Kaluga,RU,Grabtsevo Airport - Kaluga
4390,UUBD,Dyagilevo Air Base,Ryazan,RU,Dyagilevo Air Base - Ryazan
4391,UUBI,Ivanovo South Airport,Ivanovo,RU,Ivanovo South Airport - Ivanovo
4392,UUBK,Staroselye Airport,Rybinsk,RU,Staroselye Airport - Rybinsk
4393,UUBL,Semyazino Airport,Vladimir,RU,Semyazino Airport - Vladimir
4394,UUBM,Myachkovo Airport,Moscow,RU,Myachkovo Airport - Moscow
4395,UUBP,Bryansk Airport,Bryansk,RU,Bryansk Airport - Bryansk
4396,UUBW,Zhukovsky International Airport,Moscow,RU,Zhukovsky International Airport - Moscow
4397,UUDD,Domodedovo International Airport,Moscow,RU,Domodedovo International Airport - Moscow
4398,UUEE,Sheremetyevo International Airport,Moscow,RU,Sheremetyevo International Airport - Moscow
4399,UUEM,Migalovo Air Base,Tver,RU,Migalovo Air Base - Tver
4400,UUMO,Ostafyevo International Airport,Moscow,RU,Ostafyevo International Airport - Moscow
4401,UUMT,Tretyakovo Airport,Lukhovitsy,RU,Tretyakovo Airport - Lukhovitsy
4402,UUMU,Chkalovskiy Air Base,Moscow,RU,Chkalovskiy Air Base - Moscow
4403,UUOB,Belgorod International Airport,Belgorod,RU,Belgorod International Airport - Belgorod
4404,UUOK,Kursk East Airport,Kursk,RU,Kursk East Airport - Kursk
4405,UUOL,Lipetsk Airport,Lipetsk,RU,Lipetsk Airport - Lipetsk
4406,UUOO,Voronezh International Airport,Voronezh,RU,Voronezh International Airport - Voronezh
4407,UUOR,Oryol Yuzhny Airport,Orel,RU,Oryol Yuzhny Airport - Orel
4408,UUOT,Donskoye Airport,Tambov,RU,Donskoye Airport - Tambov
4409,UUWE,Yermolino Air Base,Balabanovo,RU,Yermolino Air Base - Balabanovo
4410,UUWW,Vnukovo International Airport,Moscow,RU,Vnukovo International Airport - Moscow
4411,UUYH,Ukhta Airport,Ukhta,RU,Ukhta Airport - Ukhta
4412,UUYI,Inta Airport,Inta,RU,Inta Airport - Inta
4413,UUYK,Vuktyl Airport,Vuktyl,RU,Vuktyl Airport - Vuktyl
4414,UUYP,Pechora Airport,Pechora,RU,Pechora Airport - Pechora
4415,UUYS,Usinsk Airport,Usinsk,RU,Usinsk Airport - Usinsk
4416,UUYV,Izhma Airport,Izhma,RU,Izhma Airport - Izhma
4417,UUYW,Vorkuta Airport,Vorkuta,RU,Vorkuta Airport - Vorkuta
4418,UUYX,Ust-Tsylma Airport,Ust-Tsylma,RU,Ust-Tsylma Airport - Ust-Tsylma
4419,UUYY,Syktyvkar Airport,Syktyvkar,RU,Syktyvkar Airport - Syktyvkar
4420,UWGG,Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,RU,Nizhny Novgorod Strigino International Airport - Nizhny Novgorod
4421,UWKB,Bugulma Airport,Bugulma,RU,Bugulma Airport - Bugulma
4422,UWKD,Kazan International Airport,Kazan,RU,Kazan International Airport - Kazan
4423,UWKE,Begishevo Airport,Nizhnekamsk,RU,Begishevo Airport - Nizhnekamsk
4424,UWKG,Borisoglebskoye Airport,Kazan,RU,Borisoglebskoye Airport - Kazan
4425,UWKJ,Yoshkar-Ola Airport,Yoshkar-Ola,RU,Yoshkar-Ola Airport - Yoshkar-Ola
4426,UWKS,Cheboksary Airport,Cheboksary,RU,Cheboksary Airport - Cheboksary
4427,UWKV,Zhigansk Airport,Zhigansk,RU,Zhigansk Airport - Zhigansk
4428,UWLL,Ulyanovsk Baratayevka Airport,Ulyanovsk,RU,Ulyanovsk Baratayevka Airport - Ulyanovsk
4429,UWLW,Ulyanovsk East Airport,Cherdakly,RU,Ulyanovsk East Airport - Cherdakly
4430,UWOO,Orenburg Central Airport,Orenburg,RU,Orenburg Central Airport - Orenburg
4431,UWOR,Orsk Airport,Orsk,RU,Orsk Airport - Orsk
4432,UWPP,Penza Airport,Penza,RU,Penza Airport - Penza
4433,UWPS,Saransk Airport,Saransk,RU,Saransk Airport - Saransk
4434,UWSB,Balakovo Airport,Balakovo,RU,Balakovo Airport - Balakovo
4435,UWSG,Gagarin International Airport,Saratov,RU,Gagarin International Airport - Saratov
4436,UWUM,Maksimovka Airport,Ufa,RU,Maksimovka Airport - Ufa
4437,UWUU,Ufa International Airport,Ufa,RU,Ufa International Airport - Ufa
4438,UWWB,Buguruslan Severny Airport,Buguruslan,RU,Buguruslan Severny Airport - Buguruslan
4439,UWWG,Bezymyanka Airfield,Samara,RU,Bezymyanka Airfield - Samara
4440,UWWW,Kurumoch International Airport,Samara,RU,Kurumoch International Airport - Samara
4441,VA1G,"Rewa Airport, Chorhata, REWA",Rewa,IN,"Rewa Airport, Chorhata, REWA - Rewa"
4442,VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,IN,Sardar Vallabhbhai Patel International Airport - Ahmedabad
4443,VAAK,Akola Airport,Akola,IN,Akola Airport - Akola
4444,VAAU,Aurangabad Airport,Aurangabad,IN,Aurangabad Airport - Aurangabad
4445,VABB,Chhatrapati Shivaji International Airport,Mumbai,IN,Chhatrapati Shivaji International Airport - Mumbai
4446,VABI,Bilaspur Airport,Bilaspur,IN,Bilaspur Airport - Bilaspur
4447,VABJ,Bhuj Airport,Bhuj,IN,Bhuj Airport - Bhuj
4448,VABM,Belagavi Airport,Belgaum,IN,Belagavi Airport - Belgaum
4449,VABO,Vadodara Airport,Vadodara,IN,Vadodara Airport - Vadodara
4450,VABP,Raja Bhoj International Airport,Bhopal,IN,Raja Bhoj International Airport - Bhopal
4451,VABV,Bhavnagar Airport,Bhavnagar,IN,Bhavnagar Airport - Bhavnagar
4452,VADN,Daman Airport,Daman,IN,Daman Airport - Daman
4453,VAGO,Dabolim Airport,Vasco da Gama,IN,Dabolim Airport - Vasco da Gama
4454,VAHB,Hubli Airport,Hubli,IN,Hubli Airport - Hubli
4455,VAID,Devi Ahilyabai Holkar Airport,Indore,IN,Devi Ahilyabai Holkar Airport - Indore
4456,VAJB,Jabalpur Airport,,IN,Jabalpur Airport - nan
4457,VAJM,Jamnagar Airport,Jamnagar,IN,Jamnagar Airport - Jamnagar
4458,VAKE,Kandla Airport,Kandla,IN,Kandla Airport - Kandla
4459,VAKJ,Khajuraho Airport,Khajuraho,IN,Khajuraho Airport - Khajuraho
4460,VAKP,Kolhapur Airport,,IN,Kolhapur Airport - nan
4461,VAKS,Keshod Airport,Keshod,IN,Keshod Airport - Keshod
4462,VAND,Nanded Airport,Nanded,IN,Nanded Airport - Nanded
4463,VANP,Dr. Babasaheb Ambedkar International Airport,Nagpur,IN,Dr. Babasaheb Ambedkar International Airport - Nagpur
4464,VAOZ,Nashik Airport,Nasik,IN,Nashik Airport - Nasik
4465,VAPO,Pune Airport / Lohagaon Air Force Station,Pune,IN,Pune Airport / Lohagaon Air Force Station - Pune
4466,VAPR,Porbandar Airport,Porbandar,IN,Porbandar Airport - Porbandar
4467,VARG,Ratnagiri Airport,,IN,Ratnagiri Airport - nan
4468,VARK,Rajkot Airport,Rajkot,IN,Rajkot Airport - Rajkot
4469,VASD,Shirdi Airport,Kakadi,IN,Shirdi Airport - Kakadi
4470,VASL,Solapur Airport,Solapur,IN,Solapur Airport - Solapur
4471,VASU,Surat Airport,,IN,Surat Airport - nan
4472,VAUD,Maharana Pratap Airport,Udaipur,IN,Maharana Pratap Airport - Udaipur
4473,VCBI,Bandaranaike International Colombo Airport,Colombo,LK,Bandaranaike International Colombo Airport - Colombo
4474,VCCA,Anuradhapura Airport,Anuradhapura,LK,Anuradhapura Airport - Anuradhapura
4475,VCCB,Batticaloa Airport,Batticaloa,LK,Batticaloa Airport - Batticaloa
4476,VCCC,Colombo Ratmalana Airport,Colombo,LK,Colombo Ratmalana Airport - Colombo
4477,VCCG,Ampara Airport,Ampara,LK,Ampara Airport - Ampara
4478,VCCH,Hingurakgoda Air Force Base,Polonnaruwa Town,LK,Hingurakgoda Air Force Base - Polonnaruwa Town
4479,VCCJ,Jaffna International Airport,Jaffna,LK,Jaffna International Airport - Jaffna
4480,VCCK,Koggala Airport,Galle,LK,Koggala Airport - Galle
4481,VCCT,China Bay Airport,Trincomalee,LK,China Bay Airport - Trincomalee
4482,VCRI,Mattala Rajapaksa International Airport,,LK,Mattala Rajapaksa International Airport - nan
4483,VDBG,Battambang Airport,Battambang,KH,Battambang Airport - Battambang
4484,VDKH,Kampong Chhnang Airport,Kampong Chhnang,KH,Kampong Chhnang Airport - Kampong Chhnang
4485,VDPP,Phnom Penh International Airport,Phnom Penh (Pou Senchey),KH,Phnom Penh International Airport - Phnom Penh (Pou Senchey)
4486,VDRK,Ratanakiri Airport,Ratanakiri,KH,Ratanakiri Airport - Ratanakiri
4487,VDSR,Siem Reap International Airport,Siem Reap,KH,Siem Reap International Airport - Siem Reap
4488,VE44,Hashimara Air Force Station,Jalpaiguri,IN,Hashimara Air Force Station - Jalpaiguri
4489,VEAN,Along Airport,,IN,Along Airport - nan
4490,VEAT,Agartala - Maharaja Bir Bikram Airport,Agartala,IN,Agartala - Maharaja Bir Bikram Airport - Agartala
4491,VEBD,Bagdogra Airport,Siliguri,IN,Bagdogra Airport - Siliguri
4492,VEBI,Shillong Airport,Shillong,IN,Shillong Airport - Shillong
4493,VEBS,Biju Patnaik Airport,Bhubaneswar,IN,Biju Patnaik Airport - Bhubaneswar
4494,VECC,Netaji Subhash Chandra Bose International Airport,Kolkata,IN,Netaji Subhash Chandra Bose International Airport - Kolkata
4495,VEDB,Dhanbad Airport,,IN,Dhanbad Airport - nan
4496,VEDG,Kazi Nazrul Islam Airport,Durgapur,IN,Kazi Nazrul Islam Airport - Durgapur
4497,VEGK,Gorakhpur Airport,Gorakhpur,IN,Gorakhpur Airport - Gorakhpur
4498,VEGT,Lokpriya Gopinath Bordoloi International Airport,Guwahati,IN,Lokpriya Gopinath Bordoloi International Airport - Guwahati
4499,VEGY,Gaya Airport,,IN,Gaya Airport - nan
4500,VEIM,Imphal Airport,Imphal,IN,Imphal Airport - Imphal
4501,VEJS,Sonari Airport,Jamshedpur,IN,Sonari Airport - Jamshedpur
4502,VEJT,Jorhat Airport,Jorhat,IN,Jorhat Airport - Jorhat
4503,VEKI,Kushinagar International Airport,Kushinagar,IN,Kushinagar International Airport - Kushinagar
4504,VEKR,Kailashahar Airport,Kailashahar,IN,Kailashahar Airport - Kailashahar
4505,VEKU,Silchar Airport,Silchar,IN,Silchar Airport - Silchar
4506,VELP,Lengpui Airport,Aizawl (Lengpui),IN,Lengpui Airport - Aizawl (Lengpui)
4507,VELR,North Lakhimpur Airport,Lilabari,IN,North Lakhimpur Airport - Lilabari
4508,VEMN,Dibrugarh Airport,Dibrugarh,IN,Dibrugarh Airport - Dibrugarh
4509,VEMR,Dimapur Airport,Dimapur,IN,Dimapur Airport - Dimapur
4510,VEMZ,Muzaffarpur Airport,,IN,Muzaffarpur Airport - nan
4511,VEPH,Panagarh Air Force Station,,IN,Panagarh Air Force Station - nan
4512,VEPT,Lok Nayak Jayaprakash Airport,Patna,IN,Lok Nayak Jayaprakash Airport - Patna
4513,VERC,Birsa Munda Airport,Ranchi,IN,Birsa Munda Airport - Ranchi
4514,VERK,Rourkela Airport,,IN,Rourkela Airport - nan
4515,VETZ,Tezpur Airport,,IN,Tezpur Airport - nan
4516,VEZO,Ziro Airport,Ziro,IN,Ziro Airport - Ziro
4517,VGBR,Barisal Airport,Barisal,BD,Barisal Airport - Barisal
4518,VGCB,Cox's Bazar Airport,Cox's Bazar,BD,Cox's Bazar Airport - Cox's Bazar
4519,VGEG,Shah Amanat International Airport,Chattogram (Chittagong),BD,Shah Amanat International Airport - Chattogram (Chittagong)
4520,VGIS,Ishurdi Airport,Ishurdi,BD,Ishurdi Airport - Ishurdi
4521,VGJR,Jessore Airport,Jashore (Jessore),BD,Jessore Airport - Jashore (Jessore)
4522,VGRJ,Shah Mokhdum Airport,Rajshahi,BD,Shah Mokhdum Airport - Rajshahi
4523,VGSD,Saidpur Airport,Saidpur,BD,Saidpur Airport - Saidpur
4524,VGSY,Osmany International Airport,Sylhet,BD,Osmany International Airport - Sylhet
4525,VGZR,Hazrat Shahjalal International Airport,Dhaka,BD,Hazrat Shahjalal International Airport - Dhaka
4526,VHHH,Hong Kong International Airport,Hong Kong,HK,Hong Kong International Airport - Hong Kong
4527,VHSK,Shek Kong Air Base,"Islands, New Territories",HK,"Shek Kong Air Base - Islands, New Territories"
4528,VIAG,Agra Airport / Agra Air Force Station,Agra,IN,Agra Airport / Agra Air Force Station - Agra
4529,VIAL,Allahabad Airport,Allahabad,IN,Allahabad Airport - Allahabad
4530,VIAM,Ambala Air Force Station,,IN,Ambala Air Force Station - nan
4531,VIAR,Sri Guru Ram Dass Jee International Airport,Amritsar,IN,Sri Guru Ram Dass Jee International Airport - Amritsar
4532,VIBK,Nal Airport,Bikaner,IN,Nal Airport - Bikaner
4533,VIBN,Lal Bahadur Shastri Airport,Varanasi,IN,Lal Bahadur Shastri Airport - Varanasi
4534,VIBR,Kullu Manali Airport,Bhuntar,IN,Kullu Manali Airport - Bhuntar
4535,VIBT,Bhatinda Air Force Station,,IN,Bhatinda Air Force Station - nan
4536,VIBY,Bareilly Air Force Station,Bareilly,IN,Bareilly Air Force Station - Bareilly
4537,VICG,Chandigarh International Airport,Chandigarh,IN,Chandigarh International Airport - Chandigarh
4538,VICX,Kanpur Airport,Kanpur,IN,Kanpur Airport - Kanpur
4539,VIDD,Safdarjung Airport,New Delhi,IN,Safdarjung Airport - New Delhi
4540,VIDN,Dehradun Airport,Dehradun,IN,Dehradun Airport - Dehradun
4541,VIDP,Indira Gandhi International Airport,New Delhi,IN,Indira Gandhi International Airport - New Delhi
4542,VIGG,Kangra Airport,Gaggal,IN,Kangra Airport - Gaggal
4543,VIGR,Gwalior Airport,Gwalior,IN,Gwalior Airport - Gwalior
4544,VIHR,Hissar Airport,,IN,Hissar Airport - nan
4545,VIJO,Jodhpur Airport,Jodhpur,IN,Jodhpur Airport - Jodhpur
4546,VIJP,Jaipur International Airport,Jaipur,IN,Jaipur International Airport - Jaipur
